R1,Attivazione di una scena
R2,Visualizzazione dei dettagli delle scene
R3,Visualizzazione delle modalità di attivazione di una scena
R4,Visualizzazione delle scene attivabili come lista
R5,Visualizzazione indipendente delle scene automatiche
R6,Caricamento di una sceneggiatura
R7,Messaggi di allerta
R8,Terminazione forzata di una sceneggiatura
R9,Visualizzazione dei dettagli delle sceneggiature
R10,Visualizzazione delle sceneggiature disponibili
R11,Attivazione di un punto di ripristino per singola sceneggiatura
R12,Visualizzazione dei punti di ripristino per singola sceneggiatura
R13,Visualizzazione della dimensione temporale
R14,Visualizzazione delle scene in ordine di esecuzione
